,CITY,SECTOR_ID,SECTOR_NAME,ENODEB_ID,ENODEB_NAME,EARFCN,PCI,PSS,SSS,TAC,AZIMUTH,HEIGHT,ELECTTILT,MECHTILT,TOTLETILT
4119,sanxia,259726-18,工学院7号楼CA-HLWE-1,259726,工学院78号楼-HLWE,39148,27,0,9,14451,0.0,0.0,0.0,0.0,0.0
4120,sanxia,259726-19,工学院8号楼CA-HLWE-1,259726,工学院78号楼-HLWE,39148,209,2,69,14451,0.0,0.0,0.0,0.0,0.0
4121,sanxia,259727-16,工学院9号楼-HLWE-1,259727,工学院9号楼-HLWE,38950,28,1,9,14451,0.0,0.0,0.0,0.0,0.0
4122,sanxia,259727-17,工学院9号楼CA-HLWE-1,259727,工学院9号楼-HLWE,39148,212,2,70,14451,0.0,0.0,0.0,0.0,0.0
4123,sanxia,259728-16,工学院10号楼-HLWE-1,259728,工学院10号楼-HLWE,38950,29,2,9,14451,0.0,0.0,0.0,0.0,0.0
4124,sanxia,259728-17,工学院10号楼-HLWE-2,259728,工学院10号楼-HLWE,38950,211,1,70,14451,0.0,0.0,0.0,0.0,0.0
4125,sanxia,259728-18,工学院10号楼CA-HLWE-1,259728,工学院10号楼-HLWE,39148,29,2,9,14451,0.0,0.0,0.0,0.0,0.0
4126,sanxia,259728-19,工学院10号楼CA-HLWE-2,259728,工学院10号楼-HLWE,39148,211,1,70,14451,0.0,0.0,0.0,0.0,0.0
4127,sanxia,259729-16,中医院-HLWE-1,259729,中医院-HLWE,38950,30,0,10,18834,0.0,0.0,0.0,0.0,0.0
4128,sanxia,259730-16,财政局大楼-HLWE-1,259730,财政局大楼-HLWE,38950,31,1,10,14451,0.0,0.0,0.0,0.0,0.0
4129,sanxia,259731-16,烟草大厦（含烟草局办公楼）-HLWE-1,259731,烟草大厦（含烟草局办公楼）-HLWE,38950,32,2,10,14371,0.0,0.0,0.0,0.0,0.0
4130,sanxia,259732-16,金玫瑰大酒楼-HLWE-1,259732,金玫瑰大酒楼-HLWE,38950,33,0,11,14371,0.0,0.0,0.0,0.0,0.0
4131,sanxia,259733-16,三门峡明珠宾馆-HLWE-1,259733,三门峡明珠宾馆-HLWE,38950,34,1,11,18834,0.0,0.0,0.0,0.0,0.0
4132,sanxia,259734-16,新世纪百货-HLWE-1,259734,新世纪百货-HLWE,38950,35,2,11,18834,0.0,0.0,0.0,0.0,0.0
4133,sanxia,259735-16,百货楼大楼-HLWE-1,259735,百货楼大楼-HLWE,38950,36,0,12,18834,0.0,0.0,0.0,0.0,0.0
4134,sanxia,259736-16,黄金大酒店-HLWE-1,259736,黄金大酒店-HLWE,38950,37,1,12,14371,0.0,0.0,0.0,0.0,0.0
4135,sanxia,259737-16,D县御汤温泉戴斯酒店-HLWE-1,259737,D县御汤温泉戴斯酒店-HLWE,38950,38,2,12,14387,0.0,0.0,0.0,0.0,0.0
4136,sanxia,259738-16,A池农村商业银行-HLWE-1,259738,A池农村商业银行-HLWE,38950,39,0,13,14531,0.0,0.0,0.0,0.0,0.0
4137,sanxia,259739-16,市区文体中心（体育馆）一-HLWE-1,259739,市区文体中心（体育馆）一-HLWE,38950,40,1,13,14451,0.0,0.0,0.0,0.0,0.0
4138,sanxia,259740-16,市区文体中心（体育馆）二-HLWE-1,259740,市区文体中心（体育馆）二-HLWE,39148,41,2,13,14451,0.0,0.0,0.0,0.0,0.0
4139,sanxia,259741-16,大中海丹尼斯-HLWE-1,259741,大中海丹尼斯-HLWE,38950,42,0,14,18834,0.0,0.0,0.0,0.0,0.0
4140,sanxia,259741-17,大中海丹尼斯-HLWE-2,259741,大中海丹尼斯-HLWE,39148,42,0,14,18834,0.0,0.0,0.0,0.0,0.0
4141,sanxia,259742-16,高铁南站-HLWE-1,259742,高铁南站-HLWE,38950,43,1,14,14387,0.0,0.0,0.0,0.0,0.0
4142,sanxia,259742-17,高铁南站-HLWE-2,259742,高铁南站-HLWE,39148,43,1,14,14387,0.0,0.0,0.0,0.0,0.0
4143,sanxia,259743-16,D县陕州人民医院-HLWE-1,259743,D县陕州人民医院-HLWE,38950,44,2,14,14387,0.0,0.0,0.0,0.0,0.0
4144,sanxia,259744-16,大张百货及华润超市-HLWE-1,259744,大张百货及华润超市-HLWE,38950,45,0,15,18834,0.0,0.0,0.0,0.0,0.0
4145,sanxia,259745-16,A池人民医院-HLWE-1,259745,A池人民医院-HLWE,38950,46,1,15,14531,0.0,0.0,0.0,0.0,0.0
4146,sanxia,259746-16,D县金泉宾馆一-HLWE-1,259746,D县金泉宾馆一-HLWE,38950,47,2,15,14387,0.0,0.0,0.0,0.0,0.0
4147,sanxia,259747-16,D县金泉宾馆二-HLWE-1,259747,D县金泉宾馆二-HLWE,38950,48,0,16,14387,0.0,0.0,0.0,0.0,0.0
4148,sanxia,259748-16,义乌国际商贸城一-HLWE-1,259748,义乌国际商贸城一-HLWE,38950,49,1,16,14451,0.0,0.0,0.0,0.0,0.0
4149,sanxia,259749-16,义乌国际商贸城二-HLWE-1,259749,义乌国际商贸城二-HLWE,38950,50,2,16,14451,0.0,0.0,0.0,0.0,0.0
4150,sanxia,259750-16,A池鸿泰购物广场-HLWE-1,259750,A池鸿泰购物广场-HLWE,38950,51,0,17,14563,0.0,0.0,0.0,0.0,0.0
4151,sanxia,259751-16,E宝人民医院-HLWE-1,259751,E宝人民医院-HLWE,38950,52,1,17,14483,0.0,0.0,0.0,0.0,0.0
4152,sanxia,259752-16,陕州区政府-HLWE-1,259752,陕州区政府-HLWE,38950,53,2,17,14387,0.0,0.0,0.0,0.0,0.0
4153,sanxia,259753-16,B马千禧百货-HLWE-1,259753,B马千禧百货-HLWE,38950,54,0,18,14419,0.0,0.0,0.0,0.0,0.0
4154,sanxia,259754-16,E宝凯歌大酒店-HLWE-1,259754,E宝凯歌大酒店-HLWE,38950,55,1,18,14483,0.0,0.0,0.0,0.0,0.0
4155,sanxia,259755-16,E宝紫金宫-HLWE-1,259755,E宝紫金宫-HLWE,38950,56,2,18,14483,0.0,0.0,0.0,0.0,0.0
4156,sanxia,259756-16,新华书店图书大厦-HLWE-1,259756,新华书店图书大厦-HLWE,38950,57,0,19,18834,0.0,0.0,0.0,0.0,0.0
4157,sanxia,259757-0,C氏荷塘月色-HLWE-1,259757,C氏荷塘月色-HLWE,38950,107,2,35,18839,0.0,0.0,0.0,0.0,0.0
4158,sanxia,259758-16,E宝信合大厦-HLWE-1,259758,E宝信合大厦-HLWE,38950,59,2,19,14483,0.0,0.0,0.0,0.0,0.0
4159,sanxia,259761-0,B马毛沟棚户区-HLHF-1,259761,B马毛沟棚户区-HLHF,38400,76,1,25,14467,40.0,48.0,6.0,3.0,9.0
4160,sanxia,259761-1,B马毛沟棚户区-HLHF-2,259761,B马毛沟棚户区-HLHF,38400,75,0,25,14467,135.0,48.0,6.0,3.0,9.0
